RA DEC TEFF TEFF_ERR
2.777008 66.159721 4782.988 91.466736
2.930279 71.21563 4597.6147 91.466736
5.713117 62.034195 4444.7 91.5
5.782579 66.591995 5158.0195 91.466736
6.056927 59.128628 4632.098 91.466736
7.159273 58.55077 4928.7 91.5
7.16548 85.51049 4882.451 91.466736
7.412421 66.691551 4630.105 91.466736
7.486841 63.941235 5115.563 91.466736
7.580366 66.809982 5011.415 91.466736
8.253906 84.904175 5425.9 91.5
8.428798 62.605503 5026.265 91.466736
8.430007 85.38382 6357.4 91.5
8.687876 85.201637 5255.091 91.466736
9.25717 84.923798 6019.008 91.466736
9.90154 83.993851 4063.6204 91.466736
9.938524 84.83326 5743.2407 91.466736
11.823105 84.941719 5126.0 91.5
11.971495 85.067329 6532.8 91.5
12.902036 84.732887 5020.983 91.466736
20.428804 86.071869 3938.0 91.5
21.274687 84.740334 5068.024 91.466736
22.671199 85.890884 4554.6597 91.466736
23.503403 85.598061 4826.9395 91.466736
26.826655 84.913918 3944.9 91.5
29.23166 85.441818 4583.2 91.5
45.876157 79.737938 4825.2446 91.466736
46.849832 79.742142 4439.9 91.5
47.025059 79.847298 5075.6978 91.466736
48.132945 80.303818 4352.8 91.5
48.736328 80.063057 4966.5 91.5
49.839925 79.70092 4421.0 91.5
50.578855 78.767464 4961.883 91.466736
50.733954 79.597855 4243.2 91.5
51.335258 79.152191 4162.7 91.5
51.604512 80.126228 4863.914 91.466736
52.007564 47.131069 6320.5 91.5
52.074963 46.358101 4142.0 91.5
53.071193 79.865929 4242.4 91.5
53.224613 80.787827 5299.3 91.5
54.004116 80.535583 5139.6 91.5
54.017613 46.00148 5337.5127 91.466736
54.86453 47.048504 4918.6294 91.466736
55.234922 80.303047 4980.6 91.5
55.328951 46.517509 5162.305 91.466736
55.788304 48.115074 5792.8 91.5
55.794385 32.592319 3855.4 91.5
56.337768 32.304951 3541.8 91.5
56.680597 49.44717 4715.2 91.5
56.991312 47.995895 5084.2686 91.466736
58.156818 48.577961 4972.2476 91.466736
58.626628 79.663261 4043.4 91.5
58.870295 80.141968 5099.7 91.5
58.879135 52.059212 5585.1753 91.466736
59.719995 51.917122 4181.3 91.5
60.051222 51.328213 5036.4307 91.466736
60.461369 52.369389 5501.0 91.5
60.85185 79.296814 4893.3145 91.466736
61.875475 79.388504 4805.0 91.5
64.691264 56.069656 5904.6 91.5
65.362781 55.721249 5217.5186 91.466736
65.660419 55.844658 5211.0405 91.466736
66.737292 54.093658 5015.601 91.466736
67.111916 54.948994 5293.9595 91.466736
67.393426 54.8176 5010.219 91.466736
67.427381 56.495533 5528.1675 91.466736
67.601879 54.978313 5728.3 91.5
69.416584 57.612637 6158.2 91.5
70.317793 58.926521 5128.32 91.466736
70.545186 58.040092 5150.445 91.466736
71.336638 38.063198 4751.7 91.5
71.916614 38.777874 3750.8 91.5
72.063725 37.579506 4476.0 91.5
72.299526 40.052681 5222.0034 91.466736
72.678529 57.898296 5771.7 91.5
73.082808 37.762226 5006.1333 91.466736
78.980491 23.331188 4526.0 91.5
79.150693 42.593143 4428.2 91.5
80.111434 42.851475 5158.119 91.466736
80.682587 43.011822 4956.9995 91.466736
80.730789 43.075905 4148.1 91.5
82.759415 27.599188 4567.3174 91.466736
82.804099 27.314795 5027.959 91.466736
83.46395 26.425833 4859.828 91.466736
86.209503 28.798971 4876.9697 91.466736
86.347488 28.490709 4093.9 91.5
86.457179 30.146233 4622.6 91.5
86.68493 27.705133 4378.1 91.5
87.279916 28.599081 5030.6 91.5
87.396586 28.193356 4771.6265 91.466736
