ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,tm_ID,K_mag,K_mag_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value
573552475329793152,16.79861,0.0008088903758853989,16.16639,0.005330350382127253,17.27994,0.011908498669199942,0.704,,,2006.69014590353,327.6832835478001,00490343+8454259,14.989,0.116,12.26454233682,84.907227869,1.0,1.1135502,0.013047029384138787,-2.9682102
573552651425754240,17.226868,0.0011378786451917875,16.54077,0.005989685878853076,17.776478,0.009183440707644408,,,,1710.11719897341,306.18156175632,00470869+8452041,15.084,0.164,11.78620727036,84.86778657442,1.0,1.2357082,0.010964119670915325,-2.9383755
573555503284019712,16.270048,0.0005897337184050687,15.703409,0.0025286031613494806,16.695694,0.0038879666851394288,0.55,1.0219251,0.20788538,1926.87660136694,179.27214791087022,00410395+8455277,14.75,0.101,10.26646597991,84.92438255117,1.0,0.9922848,0.004637900267614717,-2.894394
573555881241149440,16.741003,0.0010340201858391404,16.130888,0.0041650260960703145,17.2176,0.006341482815582812,,,,2051.33373243093,314.0035963823102,00444861+8454150,14.801,0.1,11.202654056039998,84.90417299529,1.0,1.0867119,0.007586952397457021,-3.0112467
573556396637219328,15.355145,0.0005883067099603345,14.827325,0.0020424443097578596,15.723644,0.004738794096621536,0.468,1.798704,0.25584972,1723.78184239603,105.41120249678988,00450926+8456010,13.923,0.053,11.28848854316,84.93365989299,1.0,0.8963194,0.0051602081594289756,-2.3393612
573556602795639168,15.649022,0.0005790313805909268,15.126775,0.002429521041688139,16.021,0.002592547085806336,0.53,1.5435393,0.25758004,1807.27181205386,133.90197864929996,00441855+8458393,14.192,0.064,11.07752158878,84.97765031879001,1.0,0.8942251,0.0035530089901558578,-2.6410913
573557221270929408,15.831078,0.0006224343456621151,15.307017,0.0014265508839214805,16.19569,0.003852890895555131,0.298,1.2190747,0.17909896,1770.26953305433,111.84091489446996,00401235+8457431,14.328,0.072,10.05139606247,84.96200631706999,1.0,0.8886728,0.0041085052850725135,-2.8439674
573557564868306560,15.550554,0.0005168626048127574,15.019793,0.002335716198751006,15.921874,0.0027637933815244458,0.5468,1.6600085,0.23351061,1791.41649618224,106.22873090074995,00412321+8500011,14.219,0.064,10.34664525407,85.0003137401,1.0,0.9020815,0.0036185803869564896,-2.5131617
573557564868307584,17.028887,0.0009683129903158266,16.393219,0.005029213380035702,17.528908,0.009635392163361973,0.6997,,,2171.9031422963,349.74322356710036,00411720+8459354,14.994,0.131,10.32169592923,84.99321074016,1.0,1.1356888,0.01086893598121304,-3.115467
573562169073257216,17.590862,0.0014759400794440683,16.907663,0.006507651643942811,18.156498,0.010425369146619685,,,,1504.91914108279,270.15499517173,00333763+8454512,15.611,0.22,8.406697385900001,84.91423001516,0.9,1.2488346,0.012289745797297894,-3.2531452
573565295809437568,16.753754,0.0007035313916964564,16.104214,0.0029108588399927113,17.25355,0.005715706427949049,0.752,0.685554,0.16670394,1897.71327914766,223.74314584097988,00314381+8457413,14.683,0.103,7.93241767469,84.96144473993,1.0,1.1493359,0.006414234105242947,-2.7891579
