ID Teff Teff_err Fe/H RA Dec
J085155.9+110931   6243.50  464.00 -0.17 132.98271 +11.15869
J085155.9+110931   6999.99  258.00  0.16 132.98271 +11.15869
J084626.0+111453   4319.20   86.00 -0.31 131.60821 +11.24808
J084626.0+111453   4404.30   86.00 -0.27 131.60821 +11.24808
J084822.3+111817   4924.99  181.00 -0.10 132.09304 +11.30478
J084822.3+111817   5159.50  105.00  0.06 132.09304 +11.30478
J084952.4+111827   3600.00  168.00  0.30 132.46825 +11.30747
J085216.6+111939   4421.70   77.00 -0.09 133.06908 +11.32736
J085216.6+111939   4427.60   72.00 -0.02 133.06917 +11.32736
J085211.0+113149   4671.20   77.00  0.11 133.04575 +11.53036
J085211.0+113149   4578.90   77.00 -0.02 133.04583 +11.53036
J085206.4+113731   6514.86  308.00  0.16 133.02654 +11.62533
J085134.4+113757   6063.80  117.00 -0.18 132.89350 +11.63261
J085056.5+113808   5254.86  427.00 -0.61 132.73554 +11.63561
J085056.5+113808   5750.00  843.00 -2.56 132.73554 +11.63561
J085056.5+113808   4893.08  303.00 -0.57 132.73554 +11.63561
J084835.4+113812   5950.40   67.00  0.00 132.14750 +11.63678
J085125.2+113816   3396.02  171.00 -0.11 132.85504 +11.63781
J085125.2+113816   3400.00  226.00 -0.30 132.85504 +11.63781
J085034.4+113957   3600.00  329.00 -0.68 132.64329 +11.66578
J085034.4+113957   6212.18  258.00  0.05 132.64329 +11.66578
J085149.8+113958   4998.79  202.00  0.06 132.95742 +11.66622
J085126.4+114013   4811.42  202.00 -0.09 132.86017 +11.67014
J085126.4+114013   4962.78  171.00  0.05 132.86017 +11.67014
J085126.4+114013   5058.15  210.00 -0.10 132.86017 +11.67014
J085226.4+114128   4733.67  181.00  0.17 133.10987 +11.69100
J085226.4+114128   5250.00  238.00  0.17 133.10987 +11.69100
J084956.8+114133   4387.10   86.00 -0.21 132.48675 +11.69247
J085205.8+114225   5107.46  426.00 -0.29 133.02421 +11.70686
J085205.8+114225   6500.00  494.00  0.25 133.02421 +11.70686
J085205.8+114225   6745.40  308.00  0.16 133.02421 +11.70686
J085105.8+114347   6508.97  117.00  0.16 132.77400 +11.72969
J085059.7+114408   4750.00  202.00  0.06 132.74858 +11.73556
J085218.6+114426   4698.80   77.00 -0.05 133.07742 +11.74064
J085143.6+114426   4637.40   77.00 -0.09 132.93146 +11.74067
J085151.6+114450   4517.49  331.00 -0.71 132.96504 +11.74731
J085117.5+114523   4353.00   86.00 -0.29 132.82287 +11.75628
J085211.3+114538   5458.25  111.00  0.05 133.04725 +11.76056
J085121.6+114606   4851.60   77.00  0.10 132.83983 +11.76836
J085059.2+114613   6514.70  494.00  0.15 132.74683 +11.77028
J085059.2+114613   5800.10   98.00 -0.16 132.74683 +11.77028
J085059.2+114613   6490.49  494.00  0.14 132.74683 +11.77028
J085144.0+114625   5406.70  111.00 -0.09 132.93337 +11.77347
J085122.1+114641   5846.80   98.00 -0.08 132.84187 +11.77806
J085144.7+114646   4750.00  181.00  0.07 132.93642 +11.77942
J085144.7+114646   5002.63  238.00 -0.08 132.93642 +11.77942
J085117.4+114701   5729.60  111.00 -0.28 132.82229 +11.78350
J085040.8+114746   5810.30   98.00 -0.20 132.66996 +11.79617
J084751.3+114750   6250.00  464.00 -0.11 131.96383 +11.79725
J084751.3+114750   6405.80   95.00 -0.12 131.96383 +11.79725
J085139.1+114755   5712.15  344.00  0.03 132.91271 +11.79872
J085139.1+114755   5933.47  344.00 -0.10 132.91271 +11.79872
J085139.1+114755   5486.54  344.00 -0.10 132.91271 +11.79872
J085208.4+114811   5548.76  344.00 -0.16 133.03517 +11.80294
J085117.1+114816   4523.00   77.00 -0.08 132.82125 +11.80444
J085036.7+114855   5794.70   98.00 -0.19 132.65279 +11.81539
J085050.0+114913   5750.00  402.00  0.35 132.70812 +11.82017
J085050.0+114913   5475.78  316.00  0.05 132.70812 +11.82017
J085118.5+114921   7500.00  464.00  0.25 132.82725 +11.82258
J085118.5+114921   5741.50  103.00 -0.23 132.82725 +11.82258
J085118.5+114922   5809.60  111.00 -0.23 132.82725 +11.82264
J085142.3+115008   4892.40   77.00  0.05 132.92642 +11.83542
J085142.3+115008   4670.80   77.00 -0.13 132.92642 +11.83542
J085142.3+115008   4817.55   77.00  0.07 132.92625 +11.83542
J085214.3+115052   5251.01  344.00  0.06 133.05954 +11.84778
J084934.7+115126   4447.00   72.00 -0.17 132.39446 +11.85714
J084934.7+115126   4330.60   77.00 -0.04 132.39458 +11.85714
J085112.7+115242   4702.60   77.00 -0.13 132.80287 +11.87842
J085112.7+115242   4793.85   77.00 -0.19 132.80287 +11.87842
