RA DEC TEFF TEFF_ERROR
132.733333 11.897750 6180 39
132.771833 11.826111 6128 44  
132.827250 11.822611 6026 39 
132.920042 11.818194 6151 48
132.745458  11.805333 6120  47
132.750708  11.908917 5474  20
132.753333  11.814639 5759  37
132.790375  11.986000 6155  38
132.802792  11.842917 6193  70
132.833833  11.778250 6172  47
132.888417  11.814250 6121  39
132.899042  11.892972 4964  25
132.937792  11.796083 4793  44
132.824958  11.765028 6307  49
132.715917  11.948861 6176  56
132.763542  11.763139 5986  41 
132.784917  11.786694 4980  37
132.876875  11.816167 4939  50
132.905833  11.834778 6087  42
132.921750  11.908056 6207  32
132.958125  11.825306 6008  33
165.603792 -77.559917 4519   0
