Red_giant_type 2MASS_Identifier TEFF logg log_Fe/H_number_abundance log_alpha/Fe_number_abundance ln_stellar_mass ln_stellar_age chi2 Galactocentric_radius TEFF_ERR Uncertainty_in_log(g) Uncertainty_in_[Fe/H] Uncertainty_in_[a/Fe] Uncertainty_in_logM Uncertainty_in_logAge
I  2M21353892+4229507 4085.31 1.39  -0.002  0.019  4.6339e-01  1.1792e+00  1.29   8.06   1.272 0.007 0.002 0.002 0.012 0.038
I  2M21354775+4233120 4685.85 2.84   0.07   0.165  2.2110e-02  2.1576e+00  2.3    8.47   8.43  0.018 0.006 0.005 0.033 0.095
I  2M21360285+4231145 4493.81 1.72  -0.431  0.025  2.3569e-01  1.4866e+00  2.44  10.79   4.96  0.018 0.006 0.005 0.034 0.103
I  2M21360302+4250260 4687.45 2.55   0.041  0.042  7.7855e-01  1.3655e-01  1.22   8.48   4.652 0.013 0.004 0.004 0.027 0.077
I  2M21360555+4246043 4622.74 2.66   0.236  0.055  2.6916e-01  1.5961e+00  0.96   8.02   2.617 0.007 0.002 0.002 0.016 0.049
I  2M21360822+4225525 4913.35 2.63   0.147  0.002  3.0500e-02  1.9933e+00  2.01   8.1    6.212 0.015 0.005 0.004 0.025 0.074
I  2M21360941+4212409 4936.44 3.08  -0.27   0.223  2.6380e-02  1.9784e+00  3.05   8.36  17.208 0.025 0.011 0.007 0.035 0.1  
I  2M21361159+4255425 4456.77 2.13   0.064  0.08   1.0307e-01  2.4122e+00  0.99   8.44   2.048 0.008 0.002 0.003 0.015 0.043
I  2M21361290+4216213 4772.04 2.55  -0.181  0.173 -5.0700e-02  2.0290e+00  2.69   8.18   7.24  0.017 0.006 0.005 0.029 0.085
I  2M21361947+4220020 4975.76 2.93   0.032  0.056  3.9453e-01  1.0007e+00  1.76   8.14   8.63  0.017 0.006 0.005 0.036 0.104
I  2M21361975+4156288 4789.25 2.62   0.287 -0.018  2.4468e-01  1.8002e+00  1.64   8.24   7.061 0.017 0.006 0.004 0.035 0.102
I  2M21362389+4158414 4835.73 3.1    0.227  0.066  5.9920e-02  2.2683e+00  2.2    8.32  10.63  0.017 0.007 0.005 0.032 0.095
I  2M21362422+4223044 4915.69 2.39  -0.153  0.0    4.0000e-03  1.9650e+00  2.2    8.68   7.695 0.02  0.007 0.005 0.032 0.094
I  2M21364363+4234146 4393.29 1.94   0.048  0.041  3.6806e-01  1.3383e+00  2.11   9.19   2.824 0.013 0.003 0.004 0.027 0.084
I  2M21365406+4318192 4402.42 1.79  -0.114  0.043  4.5714e-01  9.3282e-01  0.71   8.43   1.513 0.007 0.002 0.002 0.014 0.044
I  2M21365699+4148166 4832.25 2.45  -0.211  0.095  2.1455e-01  1.4316e+00  1.79   8.75   7.571 0.019 0.006 0.006 0.041 0.119
I  2M21365711+4241383 4763.57 2.36  -0.046  0.073  4.5952e-01  6.1160e-01  0.73   8.3    3.323 0.009 0.003 0.003 0.023 0.069
I  2M21365723+4313348 4384.06 2.01  -0.321  0.199  7.7020e-02  2.0957e+00  1.1   10.51   2.222 0.01  0.003 0.003 0.016 0.048
I  2M21370114+4224396 5015.12 3.28  -0.052  0.126  4.6278e-01  7.8831e-01  3.27   8.1   14.895 0.02  0.009 0.007 0.041 0.12 
I  2M21370396+4204473 4725.26 2.48   0.235  0.032  5.8980e-01  6.9881e-01  2.26   8.15   4.844 0.014 0.004 0.003 0.037 0.109
I  2M21370672+4219169 4465.96 1.8   -0.289  0.063  1.8054e-01  1.7305e+00  1.14   8.5    2.222 0.009 0.003 0.003 0.018 0.056
I  2M21370757+4141129 4721.12 2.85  -0.028  0.179 -2.0150e-02  2.3990e+00  2.59   8.93   9.009 0.019 0.007 0.005 0.032 0.092
I  2M21371617+4314232 4371.45 1.87  -0.545  0.238  5.0010e-02  2.0092e+00  0.7    8.84   1.542 0.007 0.002 0.002 0.01  0.031
I  2M21371664+4234001 4336.55 1.61  -0.211  0.037  5.0868e-01  9.1766e-01  3.14  10.91   4.008 0.018 0.005 0.006 0.036 0.111
I  2M21371892+4317098 4979.36 3.2   -0.19   0.078  3.1528e-01  1.4665e+00  1.05   8.15   7.684 0.011 0.005 0.004 0.021 0.061
