NGC number spSpec RA DEC RV RV_err Teff Teff_err logg logg_err feh feh_err umag umag_err gmag gmag_err rmag rmag_err imag imag_err zmag zmag_err <S/N> Tag
NGC 6791 2800-54326-151 290.31055   37.77577   -47.7  1.2 4904 113 4.18 0.15 +0.41 0.01 19.588 0.061 17.289 0.008 16.520 0.005 16.313 0.010 16.197 0.014 38.3 D 
NGC 6791 2800-54326-152 290.27792   37.80231   -45.8  2.1 5632  83 4.48 0.11 +0.42 0.01 19.716 0.075 18.013 0.009 17.483 0.011 17.356 0.013 17.289 0.019 22.9 D 
NGC 6791 2800-54326-154 290.25604   37.80142   -47.1  1.4 4542  94 3.89 0.24 +0.46 0.04 18.600 0.030 15.888 0.011 14.939 0.005 14.643 0.006 14.471 0.020 62.2 D 
NGC 6791 2800-54326-155 290.29071   37.76133   -54.5  1.7 5623  97 4.22 0.04 +0.42 0.04 19.410 0.055 17.773 0.007 17.270 0.009 17.171 0.010 17.154 0.018 26.3 D 
NGC 6791 2800-54326-156 290.28943   37.78397   -43.9  1.4 4810 123 4.07 0.14 +0.42 0.52 19.129 0.056 16.572 0.007 15.690 0.005 15.436 0.011 15.280 0.010 52.4 D 
NGC 6791 2800-54326-157 290.31383   37.79217   -41.4  2.0 5689 109 4.32 0.10 +0.35 0.04 19.585 0.055 17.941 0.009 17.405 0.010 17.294 0.015 17.308 0.021 25.1 D 
NGC 6791 2800-54326-159 290.27624   37.74988   -45.8  0.4 4535  97 3.53 0.22 +0.46 0.04 17.176 0.016 14.589 0.007 13.631 0.005 13.324 0.014 13.180 0.006 70.5 D 
NGC 6791 2800-54326-160 290.30839   37.75263   -47.2  0.8 4883  33 4.07 0.12 +0.42 0.22 18.966 0.046 16.378 0.009 15.531 0.013 15.280 0.017 15.149 0.021 54.7 D 
NGC 6791 2800-54326-161 290.26887   37.72120   -46.5  1.1 5111 134 4.12 0.14 +0.40 0.05 19.560 0.057 17.443 0.012 16.706 0.009 16.512 0.009 16.451 0.019 34.5 D 
NGC 6791 2800-54326-165 290.23537   37.77058   -55.5  2.8 5752 249 3.95 0.08 +0.15 0.10 19.106 0.050 17.508 0.013 16.979 0.008 16.865 0.009 16.837 0.023 29.9 D 
NGC 6791 2800-54326-169 290.24479   37.72029   -45.3  0.4 4481  90 3.01 0.02 +0.27 0.00 17.480 0.021 14.708 0.007 13.711 0.007 13.393 0.016 13.248 0.005 70.1 D 
