KIC ID|RA Dec
KIC 757137|291.0559161380426 +36.5599233652683
KIC 892010|290.9810304916438 +36.6669833849219
KIC 892738|291.1452635171087 +36.6940543894119
KIC 892760|291.1509856808083 +36.6849030434569
KIC 893214|291.2486210977463 +36.6384013789102
KIC 893233|291.2523746194626 +36.6016509439736
KIC 1026084|291.0561640382867 +36.7040170288481
KIC 1026180|291.080170 +36.760502
KIC 1026309|291.1098282507754 +36.7331710833035
KIC 1026326|291.1143128032376 +36.7033166230941
KIC 1026452|291.1438072419675 +36.7901014838117
KIC 1027110|291.2890403192100 +36.7499574807512
KIC 1027337|291.3342099136027 +36.7866143448191
KIC 1027582|291.3834764187475 +36.7409670808606
KIC 1028267|291.5236105929884 +36.7382381140483
KIC 1160684|290.8527277940692 +36.8691449635306
KIC 1160789|290.8865953720734 +36.8724145513545
KIC 1161447|291.0727433542934 +36.8627758650004
KIC 1161618|291.1089492890999 +36.8132874899706
KIC 1162220|291.2413157086309 +36.8916171343865
KIC 1162746|291.3599636577263 +36.8198681302495
KIC 1163114|291.4401897091800 +36.8465266306442
KIC 1163359|291.4932776803070 +36.8488053776121
KIC 1163453|291.5133976891822 +36.8339418788514
KIC 1163621|291.5540684911121 +36.8073800036402
KIC 1164301|291.6919643131461 +36.8813879700782
KIC 1164584|291.7568872536311 +36.8862707224577
KIC 1292147|290.7654087457526 +36.9191170023623
KIC 1294122|291.2798903066763 +36.9070100373123
KIC 1294385|291.3395346652690 +36.9027023220750
KIC 1294578|291.3822439093333 +36.9532608052253
KIC 1294924|291.4618446230733 +36.9667805727886
KIC 1295017|291.4813518553767 +36.9962752292753
KIC 1295475|291.5729550385632 +36.9310311747944
KIC 1296068|291.6867414741217 +36.9708743699175
KIC 1296179|291.7089557690592 +36.9197556478417
KIC 1296507|291.7838627249701 +36.9560152628051
KIC 1297272|291.9512564152963 +36.9980180878791
KIC 1429497|290.7351075735746 +37.0729810840231
KIC 1429505|290.7369977213875 +37.0368260692162
KIC 1429629|290.7653325263306 +37.0823318346280
KIC 1430118|290.8762911735234 +37.0766310116047
KIC 1430912|291.0907721000581 +37.0455229325526
KIC 1430985|291.1083103731471 +37.0744682623019
KIC 1431059|291.1278574173248 +37.0246873995937
KIC 1431316|291.1912152109205 +37.0124604345082
KIC 1432587|291.4577293008768 +37.0174570506187
KIC 1432825|291.5072957087554 +37.0385681676311
KIC 1433132|291.5695196494455 +37.0023033493008
KIC 1433593|291.6791084027802 +37.0721983833514
KIC 1433730|291.7091747169012 +37.0515051880266
KIC 1433803|291.7256968875549 +37.0385220569463
KIC 1434395|291.8565048461192 +37.0656395940117
KIC 1435573|292.1102392143135 +37.0935919418339
