,ID,g_mag,g_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,Teff,Teff_err,ref,feh_table,feh_count,ra,dec,mem_prob,cal_lum,cal_lum_err,value
0,2051099054264913408,17.533258,0.0012302182253469528,,,,4240.78536444795,1906.3766940108999,5641.0,60.0,2011AJ....141...89S,"[[5641.0, 0.1, '2011AJ....141...89S']]",1.0,290.23317521814,37.69495101654,1.0,1.7889244537158506,0.06353858990505963,1.7609689965563715
1,2051104964139553152,17.209989999999998,0.0010660371063372898,,,,2833.53219036243,750.2057932449103,5111.0,134.0,2011AJ....141...89S,"[[5111.0, 0.4, '2011AJ....141...89S']]",1.0,290.26885385721,37.721195084390004,1.0,2.578884846815144,0.11767844624731401,1.1736268592365704
2,2051105062919517312,17.624872,0.0012319057902670154,,,,3029.4167622420196,1119.3034512736504,5700.0,72.0,2011AJ....141...89S,"[[5700.0, 0.19, '2011AJ....141...89S']]",1.0,290.26744842544997,37.7324577315,0.7,1.6368007731817669,0.05807289753592418,1.8447527352074573
3,2051105170297984768,17.811264,0.0013899323232624775,,,,4005.48433223271,1779.93013835605,5464.0,53.0,2011AJ....141...89S,"[[5464.0, 0.18, '2011AJ....141...89S']]",1.0,290.25499176003,37.7365227632,1.0,1.4080865914913938,0.05100974572112019,1.7264775437961646
4,2051105273377214080,17.158867,0.0010886708506770504,,,,3258.0653303689196,1008.9559532089803,4869.0,50.0,2018ApJ...867...34V,"[[4869.0, 0.29, '2018ApJ...867...34V']]",1.0,290.25617801726,37.74675735426,1.0,2.8518631842939217,0.12218572384155285,0.9192690586870498
5,2051105376456463360,17.032806,0.0009039685620200813,,,,4244.71535784754,1420.9523548360407,4702.0,50.0,2018ApJ...867...34V,"[[4702.0, 0.29, '2018ApJ...867...34V']]",1.0,290.25731546327006,37.77556057731,1.0,3.3605743764590668,0.15510417795115378,0.6964127362112364
7,2051105475236399232,17.675127,0.001203477215427588,,,,2971.9610554948104,1132.6039382926594,5802.0,76.0,2011AJ....141...89S,"[[5802.0, 0.39, '2011AJ....141...89S']]",1.0,290.29257066627,37.75206347031,1.0,1.5523709513380688,0.05486775439043755,1.9447817372357008
8,2051105479535704192,17.780876,0.0013813205733901506,,,,4329.34161825397,1908.2168317729295,5623.0,97.0,2011AJ....141...89S,"[[5623.0, 0.42, '2011AJ....141...89S']]",1.0,290.29066335543996,37.761348242880004,1.0,1.426208821520116,0.05154208260870839,1.845497716735068
11,2051105853193549440,17.872519,0.0016456091488440947,,,,2791.8752083660497,1185.4324884385394,5689.0,109.0,2011AJ....141...89S,"[[5689.0, 0.35, '2011AJ....141...89S']]",1.0,290.31383076548,37.79217498935,1.0,1.304022257272485,0.04698241400886827,1.9350743336068632
12,2051105921913033856,17.451395,0.0011125684190273616,,,,3328.46723278356,1286.62214763392,5606.0,61.0,2011AJ....141...89S,"[[5606.0, 0.22, '2011AJ....141...89S']]",1.0,290.3028910908,37.80741116158,1.0,1.9346287505579305,0.0689641717385319,1.699933296698099
13,2051286860290906496,17.398229999999998,0.0013225062724107526,,,,4601.177074719129,1985.9818863168196,5599.0,194.0,2011AJ....141...89S,"[[5599.0, 0.2, '2011AJ....141...89S']]",1.0,290.17418660814997,37.70601297212,1.0,2.032944115594105,0.07945150490473116,1.6729792346407135
14,2051286933311574528,17.850647,0.0015652847850715042,,,,5066.50810269483,2258.8839841419604,5499.0,66.0,2011AJ....141...89S,"[[5499.0, 0.16, '2011AJ....141...89S']]",1.0,290.16181297451,37.72237205914,0.9,1.3529002819780656,0.04906006336136138,1.7715714095209805
16,2051287032089669504,17.734207,0.0013982183454937774,,,,4108.76104033134,1906.9773299803896,5583.0,44.0,2011AJ....141...89S,"[[5583.0, 0.19, '2011AJ....141...89S']]",1.0,290.18506906361,37.733311912350004,1.0,1.493979450958398,0.05310950963953463,1.7943316545167107
19,2051287925442916864,17.473945999999998,0.0014366344965360636,,,,5359.64732810654,2162.6461343925102,5540.0,7.0,2011AJ....141...89S,"[[5540.0, 0.36, '2011AJ....141...89S']]",1.0,290.12771825023,37.75478479728,1.0,1.9062350989752748,0.06761928880548572,1.6549211854567076
20,2051288028522185600,17.522910999999997,0.0015551718713955015,,,,3714.31773424399,1570.0860918344702,5451.0,210.0,2011AJ....141...89S,"[[5451.0, 0.19, '2011AJ....141...89S']]",1.0,290.13025133349,37.77521436901,1.0,1.8390471736888896,0.07869143107721513,1.600168950739807
21,2051288032823462528,17.659437,0.001435272795006574,,,,2838.7793199161797,1146.9937565994294,5503.0,56.0,2011AJ....141...89S,"[[5503.0, 0.09, '2011AJ....141...89S']]",1.0,290.1256759071701,37.76437172657,1.0,1.61276682250851,0.058153385082499925,1.6984235474667244
22,2051288170257312896,17.832014,0.001463347144752391,,,,4399.19710143873,2073.508733210341,5585.0,53.0,2011AJ....141...89S,"[[5585.0, 0.3, '2011AJ....141...89S']]",1.0,290.14429570011004,37.78644772566,1.0,1.3650376209781825,0.04865109501518598,1.8350871536464053
23,2051288410780607744,17.646513,0.0014569006428079366,,,,3765.4281229851,1757.47190771763,5497.0,26.0,2011AJ....141...89S,"[[5497.0, 0.11, '2011AJ....141...89S']]",1.0,290.11925773585,37.79796615323,1.0,1.6330853915034147,0.0583443954512621,1.6882484757417302
24,2051293010684263680,17.477936,0.0010900490199810976,,,,4083.8377016338795,1625.7988545601202,5752.0,249.0,2011AJ....141...89S,"[[5752.0, 0.15, '2011AJ....141...89S']]",1.0,290.23534340475,37.77056919181,0.9,1.8673306300103565,0.07214559354783172,1.8269675527053482
27,2051293319921971584,17.17229,0.0011128879351708935,,,,3351.183598443,1155.8277235061405,4924.0,86.0,2011AJ....141...89S,"[[4924.0, 0.4, '2011AJ....141...89S']]",1.0,290.23082447949,37.79707403819,1.0,2.778428671458143,0.1255181907683494,0.9793811906489154
